CountryCode,CountryName,TotalArea,Agriculture1meter,Agriculture2meter,Agriculture3meter,Agriculture4meter,Agriculture5meter,TotalImpacted1meter,TotalImpacted2meter,TotalImpacted3meter,TotalImpacted4meter,TotalImpacted5meter
ARG,Argentina,119236,4518,8709,13368,17691,22184,3.79,7.3,11.21,14.84,18.61
BHS,Bahamas,4546,204,387,715,1229,1801,4.49,8.51,15.73,27.03,39.62
BLZ,Belize,6306,60,161,275,394,534,0.95,2.55,4.36,6.25,8.47
BRA,Brazil,3182399,2934,5841,10324,15525,20589,0.09,0.18,0.32,0.49,0.65
CHL,Chile,112139,83,122,193,305,305,0.07,0.11,0.17,0.27,0.27
COL,Colombia,223156,544,1008,1762,2734,3699,0.24,0.45,0.79,1.23,1.66
CRI,Costa Rica,13629,25,43,73,135,213,0.18,0.32,0.54,0.99,1.56
CUB,Cuba,48812,288,519,1108,1921,2838,0.59,1.06,2.27,3.94,5.81
DOM,Dominican Republic,9771,13,20,36,62,89,0.13,0.2,0.37,0.63,0.91
ECU,Ecuador,63264,242,427,694,1068,1556,0.38,0.67,1.1,1.69,2.46
SLV,El Salvador,13351,36,52,84,128,201,0.27,0.39,0.63,0.96,1.51
GUF,French Guiana,3160,14,21,27,35,42,0.44,0.66,0.85,1.11,1.33
GTM,Guatemala,36561,15,53,116,180,297,0.04,0.14,0.32,0.49,0.81
GUY,Guyana,31703,369,783,1209,1620,1908,1.16,2.47,3.81,5.11,6.02
HTI,Haiti,11681,9,28,41,67,93,0.08,0.24,0.35,0.57,0.8
HND,Honduras,40130,60,159,352,577,818,0.15,0.4,0.88,1.44,2.04
JAM,Jamaica,1241,35,52,76,104,122,2.82,4.19,6.12,8.38,9.83
MEX,Mexico,342810,5491,8350,11422,14884,18670,1.6,2.44,3.33,4.34,5.45
SUR,Suriname,5553,312,565,815,1096,1361,5.62,10.17,14.68,19.74,24.51
NIC,Nicaragua,44603,203,376,577,858,1145,0.46,0.84,1.29,1.92,2.57
PER,Peru,104352,11,19,30,44,68,0.01,0.02,0.03,0.04,0.07
