
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.505922165820643","0.48582995951417","0.429978118161926","0.407916806440792","0.383268482490272","0.0186101998210558","0.0186156111929308","0.0180523917995444","0.0180103853511888","0.0175668979187314","0.0173295454545455","0.0175073512779914","0.017838514500313","0.0169974454706229","0.0199081163859112","0.0204918032786885","0.0203939008894536","0.021469771416364","0.0178169158304321","0.0148118494795837","0.0125188536953243","0.018610747051114","0.0239205058717254","0.0302686671318911","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","14.8188088591914","14.3415857327234","13.131700989967","14.5199172330397","17.2824958940126","17.0122507956467","16.4783365264997","17.2468028587183","17.3010977963003","17.5177615839032","18.9833743520806","12.484743671573","12.7914560815921","12.3245145818863","12.0020408331624","12.5150466808947","13.1480440283235","13.2672022932857","12.3147782666444","12.5810938334677","12.5402721013331","12.7678370470557","10.9970331917625","9.84848810423343","9.77951150981712","10.0185168518676","10.9680853707649","12.2164105437873","12.6432543086444","11.235420607881","10.5071835934386","11.4342149200174","11.5928870427865","12.5213978399857","13.5564241273468","13.7140472441437","13.4352554894481","11.945356437676","12.6807275794918","14.6221600979531","13.3468699508194",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6278918638443","37.4188554431481","29.7210671376957","31.114854912062","28.6359685844686","30.1050113574013","24.8922700059742","29.2975010547259","26.2100685374552","23.7436639877543","24.390873626371","22.8106627361766","22.1370413719574","20.6343227166798","25.7403140364582","26.4201990834448","22.0428967527575","25.7739707394105","26.8206001075115","33.4844989786092",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","15.7781499622883","16.9888975095048","18.6618126703586","21.1366398130377","21.2248022717217","22.6448337702677","24.7298079303939","26.3681794914987","25.5659145079221","24.6127452481085","24.9213912906986","24.7235927342635","24.5026063319839","25.1707928979259","25.3633588510752","24.4120697711484","24.7832053185443","25.3308212803849","24.1015774284124","21.2176749390032","23.2685874380605","30.2114063740458","28.1230429067033","24.1190755703462","24.2072622235042","23.0993157283761","22.8191341570533","23.4199989991247","24.2102764730615","22.6830008782406","21.1913708463556","21.0893951125766","20.1353397268317","19.6627407263569","20.5905605333382","21.0061501149427","20.8051709723429","20.9531975646313","21.283867313259","22.9650129213103","22.2582978984282",
"Angola","AGO","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.65321372200356","7.02686916586973","9.00201794169947","12.9111824086392","6.29025682837342","5.66468956353548","8.15637702246655","5.8395499748266","6.19838450193387","6.25087790478717","5.06040294790886","5.19128018876127","5.24227833734658","4.80533933843347","6.62119676383424","6.18029349810839","5.84568087986773","6.06962999112471","6.50749231982044","7.5470567791822","9.12253437222206","9.83116886032956","10.0169959653141","8.60774180183334","7.8826247630721","9.05067174603925","7.9441594922871",
"Albania","ALB","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.410863772173","31.5434438797069","28.7856504386147","25.9187455195517","24.5154120419235","22.7161641958722","22.0251140879353","21.9782570845961","20.537486307981","18.8453087247237","17.7083536239523","17.1536195739533","16.8370538440754","16.7943836018798","17.9558663972347","18.2267896025292","18.7668018946422","19.5651578123229","19.9901813581977","19.7802144171366","19.8499944651163","19.0221488477376","18.4294792485754","18.3893474367375","19.2644407973724","17.6640592642785",
"Andorra","AND","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.517055747893417","0.441953155279431","0.385887245890569","0.419117893036526","0.414741997881256","0.380576808035011","0.353522338328863","0.368796683946436","0.406917963904405","0.418928933319218","0.466508601972863","0.490560827241276","0.601164453935572","0.585558984254785","0.537623493009676","0.513420109683398","0.521999648433619","0.559538512516191","0.546367882815281","0.522633248415779","0.559442769715814","",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","14.6607479871248","14.2959664276183","14.6376485836987","13.9126872381237","13.7760258930833","12.361669419133","7.77633221637049","7.98858090077528","7.4435309904215","7.14121875695275","7.1654049143412","5.67075518859463","4.75052919927856","5.07640256527099","5.98006169393444","6.73882690144632","7.31569834530179","8.0686070320429","9.62117619397067","10.2755230268888","10.5341558120131","11.089208727056","10.3816950258468","12.2768824161085","9.22581493614726","9.26366593092367","10.2270806735961","10.3811832021228","10.4663907985468","9.88265741542035","11.2412235850913","9.80442897989713","8.74236218539449","9.3998109366519","9.46321578838543","9.08031656206449","8.1507748472486","7.16104156559688","6.98872857389643","6.837150740879","6.20788948744008","7.81881638192063","7.09220147976043","5.45684335047587","4.97314295748418","5.00040279146084","5.25669834357172","5.92043270049495","5.82569394986944","5.45755652024798","4.53120271178714","4.80481848547908","5.44846450072166","4.98237424669249",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","0.540188294205409","0.545088280601967","0.485156877691024","0.629067480796601","0.54722317809093","0.490602457342951","0.548306764658785","0.640366457885388","0.730600581680254","0.842471510389179","0.925826534993559","1.18452414390845","1.14322934213777","1.19773519163763","1.19302579195627","1.0584284754869","1.29776800811633","1.37862107758448","1.48090107737512","1.83042501688033","1.78706830470903","1.79243187203791","2.00402186456958","2.18089049130306","2.33324519711343","2.26265009303746","2.23820016235649","2.20332258864369","1.92768393253654","1.66536190905993","1.39540987408529","1.09424400194674","0.976671167666283","0.82730546409323","1.03688688860825","0.763419788544761","0.671922070855302","0.627943993218947","0.633172495058869","0.628716004185158","0.723671593030506","0.750862912190636","0.761757601656358","0.711463999831489","0.746712201018526","0.963890712780097","0.914025941842212",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","12.9041629886915","10.2787574725073","9.98038631665412","9.72127698537181","9.18580964838541","9.6375609641048","10.8658823843399","10.984869871837","11.9525224881086","10.2308377488651","6.5839104917193","8.15217071197931","8.0871421139688","7.5044274778029","7.79627735939132","6.35350500487903","6.47552296063439","9.59615604621897","8.65832496118367","8.3459768371011","7.63430725730443","7.80040264019792","8.09435846444628","8.97786821775225","9.61606509643166","8.12367620787488","6.71649176009431","5.99078709147934","5.13682648211779","5.08266800031075","5.351464616273","5.61086611323361","5.22197210944516","5.25272256987622","4.45782610229152","4.67991094417297","4.56858960891786","10.2066467144411","10.328166939117","8.36248661002826","7.93875427420938","6.93557229126392","7.45235394606923","7.3189545972436","5.2736234689014","7.13216745078964","6.99873377022519","5.7817442068501","6.05291843670451","6.71270351428559","5.1566859021408","6.26456582010254","5.23162237725058","4.53787889681146","5.3185559967348","6.12846695022316","7.13154104672929",
