

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807000","811069.997709244","816600.003194064","828610.01130566","849479.989405721","875579.987879843","892349.982168526","917560.016866773","956139.992721379","942640.002407134","945980.00574857","985429.991282523","1031909.9868387","1072749.99749661","1115909.98668224","1142860.01534015","1143609.99942571","1207469.99946982","1266980.02023995","1250180.0051257","1306100.01119971","1308610.02710462","1318919.99164224","1342549.96651411","1370949.98168945","1369670.00508309","1385480.00684381","1401180.01960218","1407690.0279969","1427180.00108004","","",
"Afghanistan","AFG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11970","12199.9998092651","11420.0000762939","11500","11539.999961853","11970.0002670288","13000","13970.0002670288","14789.999961853","15670.0000762939","13890.0003433228","12250","14890.0003433228","15529.9997329712","15310.0004196167","16229.9995422363","16739.9997711182","17139.9993896484","20540.0009155273","22629.9991607666","27120.0008392334","29409.9998474121","28799.9992370605","27020.0004577637","26760.0002288818","27090.0001525879","26889.9993896484","26530.0006866455","27690.0005340576","28639.9993896484","","",
"Africa Western and Central","AFW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","398320","434809.999391437","456619.994908571","457090.002804995","513829.993247986","523890.0051713","551809.98852849","552220.006316901","549469.995677471","545489.997416735","569409.990251064","572110.010772944","561879.994690418","594750.004321336","600379.996061325","623369.998216629","617159.998595715","610349.995970726","623910.005927086","614409.999191761","657490.003943444","678150.005936623","691350.017964839","718839.9990201","738380.004107952","748349.995076657","781940.016031265","790770.008087158","812779.999017716","833840.000689029","","",
"Angola","AGO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43150","43580.0018310547","44290.0009155273","47270.0004577637","50159.9998474121","53319.9996948242","54669.9981689453","55459.9990844727","59689.998626709","58639.9993896484","57639.9993896484","57750","60209.9990844727","65720.0012207031","67430.0003051758","66959.9990844727","65860.0006103516","70199.9969482422","72680.0003051758","73800.0030517578","77730.0033569336","79150.0015258789","77400.0015258789","81089.9963378906","82389.9993896484","87360.0006103516","85910.0036621094","81010.0021362305","75239.9978637695","79680.0003051758","","",
"Albania","ALB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11100","8760.00022888184","6750","6719.99979019165","7539.99996185303","7369.99988555908","7090.00015258789","6349.99990463257","6599.99990463257","7820.00017166138","8140.00034332275","8109.99965667725","8750","9090.00015258789","9159.99984741211","8949.99980926514","8850.00038146973","8859.99965667725","8600.00038146973","8640.00034332275","8899.99961853027","9329.99992370605","8880.00011444092","8930.00030517578","9359.99965667725","9220.00026702881","9090.00015258789","9659.99984741211","9449.99980926514","9010.00022888184","","",
"Andorra","AND","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","430.000007152557","430.000007152557","439.999997615814","439.999997615814","460.00000834465","490.000009536743","509.999990463257","540.000021457672","569.999992847443","589.999973773956","589.999973773956","600.000023841858","610.000014305115","639.999985694885","660.000026226044","639.999985694885","639.999985694885","639.999985694885","620.000004768372","629.999995231628","600.000023841858","600.000023841858","589.999973773956","569.999992847443","579.999983310699","589.999973773956","589.999973773956","620.000004768372","629.999995231628","","",
"Arab World","ARB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1115020","1103970.00068426","1174959.99738574","1257590.00089765","1326619.97583508","1368390.00323415","1414430.00307679","1481210.01428366","1516109.98040438","1542410.02064943","1611569.99832392","1654740.02248049","1690329.99977469","1739150.00423789","1821170.0066328","1921029.99675274","1999759.98201966","2062060.0118041","2186110.03777385","2228829.99253273","2337490.00552297","2363640.00204206","2537139.9846673","2562239.98853564","2620259.97552276","2685770.03654838","2744510.00392437","2796759.97179747","2804929.98075485","2881820.04022598","","",
"United Arab Emirates","ARE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73250","81069.9996948242","79190.0024414063","83620.002746582","92199.9969482422","97339.9963378906","101709.999084473","104949.996948242","106989.99786377","108830.001831055","109019.996643066","123080.001831055","125400.001525879","133419.998168945","141210.006713867","150100.006103516","157119.995117188","168250","194020.004272461","194380.004882813","201889.999389648","207490.005493164","219589.996337891","230889.999389648","231800.003051758","245220.001220703","252919.998168945","248690.002441406","229380.004882813","243550.003051758","","",
"Argentina","ARG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247300","251720.001220703","256239.990234375","256820.007324219","260200.012207031","262790.008544922","271989.990234375","276769.989013672","282380.004882813","288709.991455078","290820.007324219","284140.014648438","280480.010986328","302570.007324219","318700.012207031","322739.990234375","337250","349820.007324219","354269.989013672","333820.007324219","339609.985351563","350250","355299.987792969","364480.010986328","363149.993896484","370000","373329.986572266","377209.991455078","375100.006103516","369049.987792969","","",
"Armenia","ARM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24410","25010.0002288818","14819.9996948242","8579.99992370605","6030.00020980835","6639.9998664856","5570.00017166138","6190.00005722046","6119.99988555908","5619.99988555908","5989.99977111816","6099.99990463257","5769.99998092651","6199.99980926514","6590.00015258789","7320.00017166138","7719.99979019165","8369.99988555908","8890.00034332275","7739.99977111816","7559.99994277954","8199.99980926514","9199.99980926514","9140.00034332275","9130.00011444092","9159.99984741211","9409.99984741211","9250","9439.9995803833","9960.00003814697","","",
"American Samoa","ASM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","370.000004768372","449.999988079071","419.999986886978","430.000007152557","449.999988079071","479.999989271164","509.999990463257","560.000002384186","579.999983310699","600.000023841858","639.999985694885","699.999988079071","740.000009536743","750","779.999971389771","850.000023841858","910.000026226044","959.999978542328","1919.99995708466","1029.99997138977","1090.0000333786","1259.99999046326","1049.99995231628","1059.99994277954","1090.0000333786","1120.00000476837","1149.99997615814","1190.00005722046","1220.00002861023","","",
"Australia","AUS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","487000","486989.990234375","487649.993896484","489809.997558594","495779.998779297","503549.987792969","500980.010986328","507309.997558594","536320.007324219","572760.009765625","596960.021972656","624780.029296875","619280.029296875","539309.997558594","597429.992675781","560380.004882813","603109.985351563","606469.970703125","578950.012207031","593599.975585938","566440.002441406","668340.026855469","667440.002441406","580880.004882813","597270.01953125","596979.98046875","574450.012207031","623270.01953125","617390.014648438","585979.98046875","","",
"Austria","AUT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76610","80889.9993896484","75069.9996948242","75000","75069.9996948242","77550.0030517578","81330.0018310547","80279.9987792969","80279.9987792969","78470.0012207031","78650.0015258789","83000","84330.0018310547","89449.9969482422","90269.9966430664","90349.9984741211","88099.9984741211","85059.9975585938","84620.002746582","77709.9990844727","83510.0021362305","81529.9987792969","78330.0018310547","78870.002746582","75150.0015258789","76339.9963378906","76730.0033569336","78650.0015258789","75440.0024414063","76919.9981689453","","",
"Azerbaijan","AZE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75680","73239.9978637695","82319.9996948242","61689.998626709","42369.9989318848","41479.9995422363","35909.9998474121","35409.9998474121","35790.0009155273","36009.9983215332","37740.0016784668","37189.998626709","37250","39939.998626709","40080.0018310547","42869.9989318848","44720.0012207031","43290.0009155273","47650.0015258789","43130.0010681152","42020.0004577637","44840.0001525879","48049.9992370605","49259.9983215332","50619.9989318848","50520.0004577637","50860.0006103516","50240.0016784668","51689.998626709","54799.9992370605","","",
"Burundi","BDI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","1870.00000476837","1860.00001430511","1840.0000333786","1740.00000953674","1799.99995231628","1799.99995231628","1850.00002384186","1879.99999523163","1929.99994754791","1990.00000953674","1960.00003814697","1950.00004768372","1940.00005722046","2000","2059.99994277954","2200.00004768372","2279.99997138977","2400.00009536743","2549.99995231628","2880.00011444092","3119.99988555908","3200.00004768372","3599.99990463257","3589.99991416931","3619.99988555908","4000","4619.99988555908","4869.99988555908","4559.99994277954","","",
"Belgium","BEL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130770","135690.002441406","133729.995727539","131539.993286133","136889.999389648","137059.997558594","142410.003662109","139229.995727539","141990.005493164","138139.999389648","138250","138679.992675781","131360.000610352","134750","133300.003051758","129550.003051758","126550.003051758","121889.999389648","124139.999389648","117169.998168945","124739.99786377","113129.997253418","111910.003662109","112889.999389648","106510.00213623","111430.000305176","110379.997253418","108309.997558594","109059.997558594","108059.997558594","","",
"Benin","BEN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4180","4289.99996185303","4369.99988555908","4420.00007629395","4679.99982833862","4480.00001907349","5829.99992370605","6300.00019073486","6530.00020980835","6539.99996185303","7030.00020980835","6500","7530.00020980835","7500","7590.00015258789","8619.99988555908","8909.99984741211","9649.99961853027","9399.99961853027","10029.9997329712","10479.9995422363","10550.0001907349","10529.9997329712","11159.9998474121","11699.9998092651","12119.9998855591","13819.9996948242","13970.0002670288","15090.0001525879","15020.0004577637","","",
"Burkina Faso","BFA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11990","12430.0003051758","12720.0002670288","12970.0002670288","13420.0000762939","13810.0004196167","13840.0001525879","14470.0002670288","14689.9995803833","15010.0002288818","16129.9991607666","15390.0003433228","16090.0001525879","19540.0009155273","20079.9999237061","20709.9990844727","20680.0003051758","21309.9994659424","22209.9990844727","22899.9996185303","24489.9997711182","24989.9997711182","25700.0007629395","26649.9996185303","27149.9996185303","28040.0009155273","29420.0000762939","30360.0006103516","31149.9996185303","32209.9990844727","","",
"Bangladesh","BGD","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94240","94449.9969482422","96599.9984741211","98050.0030517578","100669.998168945","105830.001831055","106379.997253418","108650.001525879","108690.002441406","112940.002441406","115459.999084473","120440.002441406","124199.996948242","126099.998474121","128190.002441406","133110.000610352","138889.999389648","142169.998168945","150850.006103516","155000","163179.992675781","168960.006713867","172839.996337891","176779.998779297","181850.006103516","192179.992675781","193960.006713867","203080.001831055","208000","215940.002441406","","",
"Bulgaria","BGR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98220","81230.0033569336","75410.0036621094","73970.0012207031","70019.9966430664","71239.9978637695","71800.0030517578","68720.0012207031","65139.9993896484","58330.0018310547","57759.9983215332","60139.9993896484","57450.0007629395","62319.9996948242","61069.9996948242","61060.001373291","61009.9983215332","65180.0003051758","62810.001373291","55319.9996948242","56959.9990844727","62840.0001525879","57110.0006103516","51959.9990844727","54540.0009155273","57259.9983215332","54189.998626709","56430.0003051758","53229.9995422363","51279.9987792969","","",
"Bahrain","BHR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15730","15350.0003814697","17559.9994659424","18559.9994659424","19030.0006866455","19739.9997711182","21000","22000","23770.0004577637","24370.0008392334","25440.0005340576","26280.0006866455","27489.9997711182","28549.9992370605","28799.9992370605","32090.0001525879","34580.0018310547","35790.0009155273","38299.9992370605","38840.0001525879","40810.001373291","41509.9983215332","43130.0010681152","45930.0003051758","48029.9987792969","48869.9989318848","49349.9984741211","50240.0016784668","51159.9998474121","54409.9998474121","","",
"Bahamas, The","BHS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2140","2210.00003814697","2740.00000953674","2269.99998092651","2240.00000953674","2390.00010490417","2259.99999046326","2059.99994277954","2559.99994277954","2529.99997138977","2430.0000667572","2430.0000667572","2619.99988555908","2599.99990463257","2500","2349.99990463257","2349.99990463257","2369.99988555908","2480.00001907349","6440.00005722046","2359.99989509583","2869.99988555908","3839.99991416931","3119.99988555908","2819.9999332428","2519.99998092651","2359.99989509583","2500","3119.99988555908","3160.00008583069","","",
"Bosnia and Herzegovina","BIH","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30260","27540.0009155273","20209.9990844727","16790.0009155273","6369.99988555908","6280.00020980835","7320.00017166138","12220.0002670288","14989.9997711182","14989.9997711182","18649.9996185303","18360.0006103516","18510.0002288818","19020.0004577637","20100.0003814697","20799.9992370605","22690.0005340576","23850.0003814697","25770.0004577637","26040.0009155273","26059.9994659424","29180.0003051758","27389.9993896484","27180.0003051758","24670.0000762939","24889.9993896484","27469.9993133545","27729.9995422363","27750","26229.9995422363","","",
"Belarus","BLR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137860","132809.997558594","119059.997558594","106269.996643066","93099.9984741211","84959.9990844727","85739.9978637695","86099.9984741211","84029.9987792969","81519.9966430664","78900.0015258789","77610.0006103516","77029.9987792969","78209.9990844727","82199.9969482422","83069.9996948242","86300.0030517578","85089.9963378906","89339.9963378906","86410.0036621094","91029.9987792969","88099.9984741211","89629.997253418","90110.0006103516","89290.0009155273","84739.9978637695","83889.9993896484","85379.997253418","88209.9990844727","86830.0018310547","","",
"Belize","BLZ","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6540","6760.00022888184","6980.00001907349","7039.99996185303","7150.00009536743","6059.99994277954","4889.9998664856","3940.00005722046","2880.00011444092","1789.99996185303","750","860.000014305115","939.999997615814","1009.99999046326","819.999992847443","879.999995231628","970.000028610229","1070.00005245209","1080.00004291534","2130.00011444092","1269.99998092651","1429.99994754791","1399.99997615814","1289.99996185303","1279.99997138977","1480.00001907349","1490.00000953674","1490.00000953674","1480.00001907349","1549.99995231628","","",
"Bermuda","BMU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31220","32360.0006103516","33159.9998474121","31850.0003814697","31079.9999237061","29670.0000762939","29329.9999237061","31340.0001525879","31319.9996948242","31760.0002288818","31739.9997711182","31649.9996185303","34340.0001525879","35099.9984741211","38119.9989318848","40500","41479.9995422363","42889.9993896484","44360.0006103516","45169.9981689453","50520.0004577637","50830.0018310547","52619.9989318848","54950.0007629395","56200.0007629395","57540.0009155273","59790.0009155273","60180.0003051758","60250","60790.0009155273","","",
"Brazil","BRA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590340","611489.990234375","621450.012207031","632780.029296875","649590.026855469","676200.012207031","679289.978027344","708070.007324219","732049.987792969","748830.017089844","767750","792380.004882813","820650.024414063","835739.990234375","880979.98046875","891000","890570.007324219","914650.024414063","929710.021972656","905869.995117188","991489.990234375","1010710.02197266","1049939.94140625","1080709.9609375","1118099.97558594","1095300.04882813","1063569.94628906","1079310.05859375","1046579.95605469","1057260.00976563","","",
"Barbados","BRB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3110","3140.00010490417","3380.00011444092","3230.00001907349","3299.99995231628","3359.99989509583","3369.99988555908","3480.00001907349","3589.99991416931","3640.00010490417","3589.99991416931","3660.00008583069","3710.00003814697","3720.00002861023","3710.00003814697","3759.99999046326","3809.99994277954","3839.99991416931","4150.00009536743","7000","3950.00004768372","4170.00007629395","4550.00019073486","3890.00010490417","3730.00001907349","3740.00000953674","3779.99997138977","3690.00005722046","3759.99999046326","3789.99996185303","","",
"Brunei Darussalam","BRN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4670","4889.9998664856","5170.00007629395","5590.00015258789","5889.9998664856","6269.99998092651","6469.99979019165","6900.00009536743","6130.00011444092","6210.00003814697","6610.0001335144","6550.00019073486","6559.99994277954","7579.99992370605","7179.99982833862","7019.99998092651","9770.00045776367","9289.99996185303","10149.9996185303","9920.00007629395","9239.99977111816","9479.99954223633","9449.99980926514","9239.99977111816","9130.00011444092","8390.00034332275","9029.99973297119","9500","9810.0004196167","9300.00019073486","","",
"Bhutan","BTN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","810.000002384186","769.999980926514","769.999980926514","779.999971389771","870.000004768372","879.999995231628","879.999995231628","879.999995231628","910.000026226044","879.999995231628","850.000023841858","860.000014305115","879.999995231628","920.000016689301","1029.99997138977","1019.99998092651","1029.99997138977","920.000016689301","990.000009536743","1070.00005245209","1259.99999046326","1309.99994277954","1340.0000333786","1340.0000333786","1389.99998569489","1559.99994277954","1610.00001430511","1679.99994754791","1679.99994754791","","",
"Botswana","BWA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13040","12449.9998092651","12689.9995803833","12350.0003814697","12579.9999237061","13479.9995422363","14619.9998855591","14210.000038147","13850.0003814697","13890.0003433228","13699.9998092651","15579.9999237061","15920.0000762939","8789.99996185303","9380.00011444092","10789.999961853","12609.9996566772","10859.9996566772","19590.0001525879","10510.0002288818","20950.0007629395","25809.9994659424","13100.0003814697","14050.0001907349","12770.0004577637","12189.9995803833","11100.0003814697","14890.0003433228","12680.0003051758","11000","","",
"Central African Republic","CAF","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16870","17180.0003051758","17229.9995422363","17270.0004577637","19770.0004577637","19899.9996185303","21909.9998474121","22090.0001525879","24129.9991607666","21799.9992370605","24760.0002288818","20940.0005340576","18690.0005340576","23799.9992370605","21190.0005340576","22229.9995422363","22370.0008392334","22739.9997711182","23879.9991607666","19340.0001525879","21500","22799.9992370605","19920.0000762939","21100.0003814697","20649.9996185303","21010.0002288818","22860.0006103516","21350.0003814697","21909.9998474121","19729.9995422363","","",
"Canada","CAN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","540380","536289.978027344","550630.004882813","546630.004882813","564719.970703125","579710.021972656","597669.982910156","611929.992675781","620150.024414063","625309.997558594","644890.014648438","636840.026855469","657760.009765625","679150.024414063","676030.029296875","690539.978027344","679219.970703125","712789.978027344","688190.002441406","653140.014648438","669979.98046875","686500","686650.024414063","698679.992675781","706320.007324219","704479.98046875","704750","721010.009765625","737989.990234375","736929.992675781","","",
"Central Europe and the Baltics","CEB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1236190","1138730.00144958","1060740.00358582","1028909.98458862","999659.999847413","1002150.01869202","1026529.98924255","997999.990463257","941650.004386902","894260.011672974","885220.008850098","895640.006065369","877040.012359619","909109.977722168","910360.005378724","909890.003204345","928109.986305237","937249.994277954","917980.010032654","850510.003089906","876359.998703004","875500.024795532","847470.010757446","819539.995193482","798350.011825561","810819.984436036","821890.012741089","844859.985351563","836729.983329774","803120.008468629","","",
"Switzerland","CHE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52780","55000","54930.0003051758","52569.9996948242","51700.0007629395","52630.0010681152","53250","51790.0009155273","53349.9984741211","53479.9995422363","52729.9995422363","54340.0001525879","52709.9990844727","53950.0007629395","54450.0007629395","55169.9981689453","54889.9993896484","52959.9990844727","54590.0001525879","53139.9993896484","54720.0012207031","50599.9984741211","51909.9998474121","52930.0003051758","49119.9989318848","48349.9984741211","48849.9984741211","47880.0010681152","46610.0006103516","46500","","",
"Channel Islands","CHI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45260","44220.0012207031","45720.0012207031","48270.0004577637","52270.0004577637","56169.9981689453","62720.0012207031","69819.9996948242","70919.9981689453","73779.9987792969","69919.9981689453","67800.0030517578","68410.0036621094","69160.0036621094","74540.0009155273","75129.997253418","76419.9981689453","84150.0015258789","88879.997253418","86489.9978637695","91660.0036621094","98099.9984741211","100540.000915527","103819.999694824","96449.9969482422","102129.997253418","106589.996337891","107510.00213623","107690.002441406","113019.996643066","","",
