Entity,Code,Year,Number of reported natural disasters
All disasters,,1900,6
All disasters,,1901,1
All disasters,,1902,10
All disasters,,1903,12
All disasters,,1904,4
All disasters,,1905,8
All disasters,,1906,14
All disasters,,1907,2
All disasters,,1908,3
All disasters,,1909,15
All disasters,,1910,52
All disasters,,1911,10
All disasters,,1912,6
All disasters,,1913,5
All disasters,,1914,8
All disasters,,1915,7
All disasters,,1916,3
All disasters,,1917,7
All disasters,,1918,5
All disasters,,1919,8
All disasters,,1920,9
All disasters,,1921,1
All disasters,,1922,7
All disasters,,1923,13
All disasters,,1924,8
All disasters,,1925,12
All disasters,,1926,14
All disasters,,1927,10
All disasters,,1928,17
All disasters,,1929,5
All disasters,,1930,21
All disasters,,1931,23
All disasters,,1932,12
All disasters,,1933,15
All disasters,,1934,8
All disasters,,1935,15
All disasters,,1936,20
All disasters,,1937,10
All disasters,,1938,7
All disasters,,1939,12
All disasters,,1940,56
All disasters,,1941,12
All disasters,,1942,12
All disasters,,1943,16
All disasters,,1944,14
All disasters,,1945,16
All disasters,,1946,17
All disasters,,1947,13
All disasters,,1948,25
All disasters,,1949,21
All disasters,,1950,26
All disasters,,1951,31
All disasters,,1952,29
All disasters,,1953,36
All disasters,,1954,33
All disasters,,1955,32
All disasters,,1956,36
All disasters,,1957,28
All disasters,,1958,24
All disasters,,1959,35
All disasters,,1960,39
All disasters,,1961,29
All disasters,,1962,29
All disasters,,1963,42
All disasters,,1964,60
All disasters,,1965,64
All disasters,,1966,83
All disasters,,1967,77
All disasters,,1968,82
All disasters,,1969,109
All disasters,,1970,76
All disasters,,1971,61
All disasters,,1972,62
All disasters,,1973,71
All disasters,,1974,65
All disasters,,1975,57
All disasters,,1976,94
All disasters,,1977,114
All disasters,,1978,110
All disasters,,1979,123
All disasters,,1980,178
All disasters,,1981,155
All disasters,,1982,142
All disasters,,1983,203
All disasters,,1984,140
All disasters,,1985,157
All disasters,,1986,145
All disasters,,1987,186
All disasters,,1988,200
All disasters,,1989,178
All disasters,,1990,308
All disasters,,1991,226
All disasters,,1992,211
All disasters,,1993,258
All disasters,,1994,248
All disasters,,1995,251
All disasters,,1996,233
All disasters,,1997,268
All disasters,,1998,296
All disasters,,1999,368
All disasters,,2000,420
All disasters,,2001,391
All disasters,,2002,428
All disasters,,2003,378
All disasters,,2004,354
All disasters,,2005,467
All disasters,,2006,393
All disasters,,2007,428
All disasters,,2008,384
All disasters,,2009,360
All disasters,,2010,415
All disasters,,2011,348
All disasters,,2012,353
All disasters,,2013,340
All disasters,,2014,346
All disasters,,2015,411
All disasters,,2016,336
All disasters,,2017,350
All disasters,,2018,336
All disasters,,2019,409
All disasters,,2020,399
All disasters,,2021,447
All disasters,,2022,323
Drought,,1900,2
Drought,,1903,1
Drought,,1906,2
Drought,,1910,45
Drought,,1919,5
Drought,,1920,2
Drought,,1921,1
Drought,,1928,1
Drought,,1931,10
Drought,,1933,5
Drought,,1940,45
Drought,,1942,1
Drought,,1943,1
Drought,,1946,1
Drought,,1947,1
Drought,,1960,1
Drought,,1961,1
Drought,,1963,2
Drought,,1964,7
Drought,,1965,9
Drought,,1966,11
Drought,,1967,8
Drought,,1968,11
Drought,,1969,55
Drought,,1970,2
Drought,,1971,8
Drought,,1972,8
Drought,,1973,10
Drought,,1974,4
Drought,,1976,15
Drought,,1977,14
Drought,,1978,10
Drought,,1979,21
Drought,,1980,75
Drought,,1981,41
Drought,,1982,8
Drought,,1983,34
Drought,,1984,7
Drought,,1985,4
Drought,,1986,4
Drought,,1987,19
Drought,,1988,22
Drought,,1989,17
Drought,,1990,45
Drought,,1991,16
Drought,,1992,18
Drought,,1993,9
Drought,,1994,16
Drought,,1995,8
Drought,,1996,13
Drought,,1997,23
Drought,,1998,27
Drought,,1999,55
Drought,,2000,37
Drought,,2001,34
Drought,,2002,28
Drought,,2003,22
Drought,,2004,15
Drought,,2005,30
Drought,,2006,9
Drought,,2007,16
Drought,,2008,30
Drought,,2009,28
Drought,,2010,30
Drought,,2011,25
Drought,,2012,22
Drought,,2013,15
Drought,,2014,34
Drought,,2015,47
Drought,,2016,22
Drought,,2017,17
Drought,,2018,30
Drought,,2019,21
Drought,,2020,16
Drought,,2021,28
Drought,,2022,13
Dry mass movement,,1903,1
Dry mass movement,,1905,1
Dry mass movement,,1908,1
Dry mass movement,,1937,1
Dry mass movement,,1955,1
Dry mass movement,,1962,1
Dry mass movement,,1963,1
Dry mass movement,,1971,1
Dry mass movement,,1980,1
Dry mass movement,,1982,1
Dry mass movement,,1983,3
Dry mass movement,,1985,2
Dry mass movement,,1987,2
Dry mass movement,,1988,3
Dry mass movement,,1989,3
Dry mass movement,,1990,2
Dry mass movement,,1991,3
Dry mass movement,,1992,4
Dry mass movement,,1993,3
Dry mass movement,,2000,1
Dry mass movement,,2002,1
Dry mass movement,,2004,1
Dry mass movement,,2006,1
Dry mass movement,,2008,3
Dry mass movement,,2009,1
Dry mass movement,,2012,1
Dry mass movement,,2013,1
Dry mass movement,,2015,1
Dry mass movement,,2017,1
Dry mass movement,,2018,1
Earthquake,,1900,1
Earthquake,,1901,1
Earthquake,,1902,4
Earthquake,,1903,5
Earthquake,,1904,3
Earthquake,,1905,6
Earthquake,,1906,6
Earthquake,,1907,2
Earthquake,,1908,2
Earthquake,,1909,8
Earthquake,,1910,4
Earthquake,,1911,5
Earthquake,,1912,1
Earthquake,,1913,4
Earthquake,,1914,6
Earthquake,,1915,3
Earthquake,,1916,2
Earthquake,,1917,4
Earthquake,,1918,3
Earthquake,,1920,5
Earthquake,,1922,3
Earthquake,,1923,6
Earthquake,,1924,6
Earthquake,,1925,8
Earthquake,,1926,1
Earthquake,,1927,4
Earthquake,,1928,7
Earthquake,,1929,2
Earthquake,,1930,15
Earthquake,,1931,6
Earthquake,,1932,6
Earthquake,,1933,5
Earthquake,,1934,3
Earthquake,,1935,7
Earthquake,,1936,11
Earthquake,,1937,3
Earthquake,,1938,2
Earthquake,,1939,7
Earthquake,,1940,7
Earthquake,,1941,7
Earthquake,,1942,8
Earthquake,,1943,9
Earthquake,,1944,6
Earthquake,,1945,8
Earthquake,,1946,10
Earthquake,,1947,3
Earthquake,,1948,7
Earthquake,,1949,7
Earthquake,,1950,7
Earthquake,,1951,7
Earthquake,,1952,13
Earthquake,,1953,9
Earthquake,,1954,5
Earthquake,,1955,6
Earthquake,,1956,6
Earthquake,,1957,7
Earthquake,,1958,5
Earthquake,,1959,3
Earthquake,,1960,8
Earthquake,,1961,3
Earthquake,,1962,4
Earthquake,,1963,3
Earthquake,,1964,7
Earthquake,,1965,8
Earthquake,,1966,13
Earthquake,,1967,15
Earthquake,,1968,16
Earthquake,,1969,11
Earthquake,,1970,12
Earthquake,,1971,6
Earthquake,,1972,7
Earthquake,,1973,8
Earthquake,,1974,6
Earthquake,,1975,5
Earthquake,,1976,21
Earthquake,,1977,14
Earthquake,,1978,9
Earthquake,,1979,22
Earthquake,,1980,17
Earthquake,,1981,15
Earthquake,,1982,14
Earthquake,,1983,26
Earthquake,,1984,13
Earthquake,,1985,17
Earthquake,,1986,21
Earthquake,,1987,15
Earthquake,,1988,15
Earthquake,,1989,19
Earthquake,,1990,41
Earthquake,,1991,29
Earthquake,,1992,25
Earthquake,,1993,20
Earthquake,,1994,25
Earthquake,,1995,26
Earthquake,,1996,13
Earthquake,,1997,23
Earthquake,,1998,30
Earthquake,,1999,33
Earthquake,,2000,30
Earthquake,,2001,25
Earthquake,,2002,37
Earthquake,,2003,40
Earthquake,,2004,42
Earthquake,,2005,25
Earthquake,,2006,24
Earthquake,,2007,21
Earthquake,,2008,23
Earthquake,,2009,22
Earthquake,,2010,24
Earthquake,,2011,30
Earthquake,,2012,27
Earthquake,,2013,29
Earthquake,,2014,26
Earthquake,,2015,23
Earthquake,,2016,30
Earthquake,,2017,22
Earthquake,,2018,20
Earthquake,,2019,31
Earthquake,,2020,16
Earthquake,,2021,28
