
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","50.776","50.761","50.746","50.73","50.715","50.7","50.685","50.67","50.654","50.639","50.624","50.609","50.593","50.578","50.563","50.548","50.532","50.517","50.502","50.487","50.472","50.456","50.441","50.426","50.411","50.395","50.38","50.365","50.35","50.335","50.319","50.304","49.998","49.588","49.177","48.767","48.356","47.946","47.536","47.127","46.717","46.339","45.972","45.606","45.24","44.875","44.511","44.147","43.783","43.421","43.059","42.94","42.957","42.99","43.041","43.108","43.192","43.293","43.411","43.546","43.697","43.866",
"Africa Eastern and Southern","AFE","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","14.5638104309121","14.8114099770576","15.069248988944","15.3479755955329","15.6401947948091","15.9412824839848","16.2551767371427","16.5743103647209","16.899608219168","17.2345181088218","17.551966796286","17.8753210259843","18.2205349024791","18.5623419871971","18.8788987816351","19.2012051994471","19.5241247237822","19.8604375818888","20.2150962477208","20.5550221131907","20.8761123478012","21.1656900615074","21.4451058371631","21.7871068282136","22.1925356978551","22.6451052024127","23.148128021038","23.6596492286696","24.1735493541004","24.6828501206177","25.2027985279673","25.6451460467216","26.07387389696","26.5098231519078","26.948708857195","27.3352881909909","27.6248973342379","27.9110722237409","28.2033753054683","28.489867849738","28.7727799350881","29.0715908083576","29.3861902826353","29.6984193472006","30.0141481021328","30.349868510116","30.6760655097936","30.9347663936363","31.3432413028329","31.7575261988182","32.1812909874008","32.6176919701458","33.0404735995372","33.4762079430807","33.9369592592627","34.4255806890373","34.8947498920365","35.3588983011336","35.8475956934901","36.3362575477093","36.8283007969397","37.3236974939581",
"Afghanistan","AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","8.401","8.684","8.976","9.276","9.586","9.904","10.233","10.57","10.918","11.275","11.643","12.021","12.41","12.809","13.219","13.641","14.074","14.517","14.973","15.442","15.995","16.562","17.147","17.747","18.365","18.997","19.647","20.314","20.998","21.088","21.177","21.266","21.355","21.444","21.534","21.624","21.714","21.805","21.895","21.986","22.078","22.169","22.261","22.353","22.5","22.703","22.907","23.113","23.32","23.528","23.737","23.948","24.16","24.373","24.587","24.803","25.02","25.25","25.495","25.754","26.026","26.314",
"Africa Western and Central","AFW","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","14.7053906572829","15.0901232331247","15.4840755171037","15.8975919499162","16.3292078540238","16.7786496991592","17.2079557181946","17.6524799358983","18.1109515233741","18.5820048538752","19.052719159514","19.5933778918516","20.1497540385888","20.7163209652862","21.2949425476193","21.8831243924284","22.4876629669032","23.0539831517505","23.6207751807237","24.1003317105443","24.5850937830881","25.1925777557965","25.7978068012752","26.4084325004092","27.0492909237904","27.7311227586106","28.4049922543877","29.070640688576","29.7254696549143","30.3654556843314","30.9705411096988","31.4103296117598","31.8374912003679","32.2591262854723","32.6662695079749","33.0672828094985","33.4740743862744","33.927806329522","34.3932931143835","34.863518035025","35.3370493782956","35.9449080222937","36.5548813810684","37.1733128807247","37.7989767837642","38.4344837675033","39.0793036228639","39.7215976792338","40.3605353308944","41.0015117521088","41.6471579047466","42.2882991749983","42.9258849777623","43.5540938885034","44.180175009112","44.8058632577217","45.425066376362","46.0394778242827","46.6494258286276","47.2554132163805","47.857831024778","48.4548062699179",
"Angola","AGO","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","10.435","10.798","11.204","11.624","12.058","12.504","12.965","13.441","13.932","14.436","14.957","15.632","16.455","17.31","18.202","19.128","20.092","21.088","22.122","23.192","24.298","25.437","26.612","27.821","29.065","30.338","31.643","32.978","34.343","35.731","37.144","38.58","40.039","41.511","43","44.169","45.346","46.525","47.71","48.897","50.087","51.274","52.461","53.645","54.827","56","56.764","57.524","58.282","59.034","59.783","60.528","61.268","62.002","62.731","63.446","64.149","64.839","65.514","66.177","66.825","67.46",
"Albania","ALB","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","30.705","30.943","31.015","31.086","31.158","31.23","31.302","31.374","31.446","31.548","31.74","31.933","32.127","32.321","32.516","32.712","32.908","33.105","33.302","33.5","33.762","34.024","34.287","34.552","34.817","35.083","35.35","35.619","35.888","36.158","36.428","36.7","37.249","37.799","38.354","38.911","39.473","40.035","40.601","41.169","41.741","42.435","43.501","44.573","45.651","46.731","47.815","48.902","49.991","51.076","52.163","53.247","54.33","55.387","56.423","57.434","58.421","59.383","60.319","61.229","62.112","62.969",
"Andorra","AND","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","58.45","60.983","63.462","65.872","68.205","70.445","72.593","74.641","76.588","78.424","80.155","81.78","83.301","84.716","86.032","87.252","88.382","89.42","90.378","91.257","92.064","92.8","93.474","94.089","94.649","95.159","95.325","95.178","95.027","94.872","94.712","94.53","94.324","94.111","93.89","93.661","93.425","93.18","92.927","92.666","92.395","92.056","91.641","91.207","90.751","90.285","89.807","89.308","89.004","88.912","88.819","88.726","88.631","88.537","88.441","88.345","88.248","88.15","88.062","87.984","87.916","87.858",
"Arab World","ARB","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","31.0221618761246","31.7546774500861","32.4948317809347","33.2614926678252","34.0537932048144","34.8829850998416","35.6732539088972","36.3576281319132","37.0570488550047","37.7671128750642","38.4815483947175","39.1690007032558","39.8710914929653","40.5662376999626","41.1977299018807","41.7987508859464","42.4444657383449","43.06607490166","43.5418116689702","43.9717671913782","44.4837922580346","45.0343218331119","45.5711662186222","46.1387769431541","46.7764669844878","47.3896623940812","48.0053193114113","48.5751677386731","49.0998019228664","49.5950846719184","50.074412080139","50.4711752200271","51.0190267061052","51.4348089295405","51.7024141696087","51.8985035847987","52.0919238879614","52.3161747222878","52.5620010400932","52.810525933373","53.0559973795537","53.3118011492396","53.5664327586935","53.830162111699","54.0955224686373","54.4352230672072","54.834300381715","55.1196682551353","55.5592923941882","55.996756942822","56.3804175556449","56.6379951294674","56.8642213511558","57.1779738210308","57.507260831792","57.8461531322777","58.1232553821432","58.3712899667064","58.6295761563896","58.8838169749636","59.0876190110407","59.2948864669767",
"United Arab Emirates","ARE","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","73.5","74.383","75.248","76.093","76.919","77.723","78.508","79.272","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.903","80.106","80.309","80.51","80.71","80.683","80.466","80.247","80.026","79.804","79.624","79.482","79.339","79.196","79.051","78.906","78.76","78.614","78.467","78.319","78.493","78.938","79.378","79.81","80.236","80.655","81.067","81.472","81.871","82.262","82.648","83.023","83.387","83.742","84.087","84.423","84.749","85.066","85.375","85.674","85.965","86.248","86.522","86.789","87.048","87.299",
"Argentina","ARG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","73.611","74.217","74.767","75.309","75.844","76.369","76.888","77.398","77.901","78.394","78.88","79.321","79.743","80.158","80.567","80.969","81.366","81.755","82.139","82.516","82.887","83.313","83.759","84.194","84.621","85.038","85.445","85.843","86.233","86.613","86.984","87.328","87.542","87.752","87.96","88.164","88.366","88.564","88.759","88.952","89.142","89.329","89.51","89.686","89.86","90.031","90.2","90.366","90.53","90.691","90.849","90.99","91.121","91.249","91.377","91.503","91.627","91.749","91.87","91.991","92.111","92.229",
"Armenia","ARM","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","51.275","52.147","53.019","53.889","54.758","55.622","56.483","57.341","58.195","59.042","59.864","60.657","61.445","62.225","63","63.611","64.219","64.821","65.419","65.839","66.05","66.259","66.467","66.675","66.883","67.09","67.296","67.501","67.706","67.69","67.421","67.15","66.878","66.606","66.332","66.057","65.781","65.504","65.226","64.947","64.666","64.385","64.236","64.137","64.038","63.938","63.839","63.739","63.64","63.54","63.44","63.34","63.24","63.164","63.112","63.085","63.082","63.103","63.149","63.219","63.313","63.431",
"American Samoa","ASM","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","66.211","66.641","67.068","67.493","67.916","68.334","68.75","69.163","69.574","69.98","70.384","70.784","71.182","71.576","71.967","72.354","72.739","73.12","73.497","73.871","74.33","75.043","75.743","76.429","77.103","77.762","78.408","79.04","79.659","80.263","80.948","81.886","82.789","83.654","84.485","85.28","86.043","86.771","87.467","88.131","88.587","88.491","88.394","88.297","88.198","88.1","88","87.9","87.799","87.697","87.594","87.502","87.42","87.348","87.288","87.238","87.198","87.17","87.153","87.147","87.153","87.169",
